"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Nylanderia.1","Nylanderia","Public","Andersen&Hoffmann_2011_traits_352","Nylanderia","True","Staab, Michael",11.782110118,117.7885679568,"Worker",1.22641509433962,0.548896520190476,0.569093406666667,0.1823076923125,0.309572349297297,0.953262550684211,0.918835531230769,0.906349298566038,0.4363598901875,0.465424679625,0.146887574025641,NA,1.5,5.5,0,15.1666666666667,15.1666666666667,17.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","emmae","Native*","China","Asia","bgrossman","2017-09-05",150.396226415094,"Staab_China_pitfalls"
"Nylanderia.2","Nylanderia","Public","Andersen&Hoffmann_2011_traits_352","Nylanderia","True","Staab, Michael",11.782110118,117.7885679568,"Worker",1.22641509433962,0.548896520190476,0.569093406666667,0.1823076923125,0.309572349297297,0.953262550684211,0.918835531230769,0.906349298566038,0.4363598901875,0.465424679625,0.146887574025641,NA,1.5,5.5,0,15.1666666666667,15.1666666666667,17.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","emmae","Native*","China","Asia","bgrossman","2017-09-05",150.396226415094,"Staab_China_pitfalls"
"Nylanderia.3","Nylanderia","Public","Andersen&Hoffmann_2011_traits_352","Nylanderia","True","Staab, Michael",11.782110118,117.7885679568,"Worker",1.22641509433962,0.548896520190476,0.569093406666667,0.1823076923125,0.309572349297297,0.953262550684211,0.918835531230769,0.906349298566038,0.4363598901875,0.465424679625,0.146887574025641,NA,1.5,5.5,0,15.1666666666667,15.1666666666667,17.6666666666667,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","emmae","Native*","China","Asia","bgrossman","2017-09-05",150.396226415094,"Staab_China_pitfalls"
"Ochetomyrmex","Ochetomyrmex","Public","Vasconcelos&Pacheco_noyear_01_traits_132","Ochetomyrmex","False","Heraldo L. Vasconcelos & Renata Pacheco",-9.25285,-44.78424333,"Worker",6,0.49,0.49,0.17,0.28,0.36,0.32,0.52,0.29,0.39,0.1,NA,NA,9,2,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"semipolitus","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Ochetomyrmex.1","Ochetomyrmex","Public","Vasconcelos&Pacheco_noyear_01_traits_132","Ochetomyrmex","False","Heraldo L. Vasconcelos & Renata Pacheco",-9.25285,-44.78424333,"Worker",6,0.49,0.49,0.17,0.28,0.36,0.32,0.52,0.29,0.39,0.1,NA,NA,9,2,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"semipolitus","Native*","Brazil","South America","lgjohanson","2018-04-24",168,"Vasconcelos&Pacheco Traits"
"Octostruma","Octostruma","Public","Baccaro_noyear_traits_120","Octostruma","False","Baccaro, Fabricio",NA,NA,"Worker",1,0.638,0.56,0.2025,0.175,0.4475,0.3325,0.664,0.395,0.5075,0.04,NA,1,0,0,21,21,21,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","175847","balzani","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Octostruma.1","Octostruma","Public","Baccaro_noyear_traits_120","Octostruma","False","Baccaro, Fabricio",NA,NA,"Worker",1,0.638,0.56,0.2025,0.175,0.4475,0.3325,0.664,0.395,0.5075,0.04,NA,1,0,0,21,21,21,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","175847","balzani","Native*",NA,NA,"bgrossman","2017-02-23",141,"Traits_4_February_2017"
"Odontomachus","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"Odontomachus.1","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"Odontomachus.2","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"Odontomachus.3","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"Odontomachus.4","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"Odontomachus.5","Odontomachus","Public","Andersen&Hoffmann_2011_traits_430","Odontomachus","False","Gibb, Heloise",4.726676674,101.441269733667,"Worker",1.51515151515152,2.11091025634615,2.65525345609677,0.351465201538462,1.59521739130435,3.042017857125,2.5455357142,3.50167639743478,1.1384285714,1.48465201453846,0.32448550726087,NA,1.6,2.71428571428571,0.3,14.5714285714286,14.5714285714286,23.4285714285714,"Polymorphic (3)","Monogyny (1)",NA,"Monodomous (1)",NA,"Dead wood (4)","Diurnal (1)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sp._Nr._Turneri","Native*","China","Asia","bgrossman","2017-02-22",148.454545454545,"Traits_1_February 2017"
"NA.8",NA,NA,NA,"Paraponera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachycondyla","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.1","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.2","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.3","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.4","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.5","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.6","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pachycondyla.7","Pachycondyla","Public","Baccaro_noyear_traits_112","Pachycondyla","False","Bishop, Tom Rhys",1.40791414777778,59.8741225188889,"Minor",1.21951219512195,1.656983368,1.80628571428571,0.371818181787879,1.07206526806061,1.77487912088571,1.41992074590909,2.58135802063415,1.15727272727273,1.35538927736364,0.228554778606061,7.75,2,32.8888888888889,0,7.07407407407407,6.55555555555556,7,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","100290","caffraria","Native*","Brazil","South America","bgrossman","2017-02-22",137.951219512195,"Traits_1_February 2017"
"Pheidole","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.1","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.2","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.3","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.4","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.5","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.6","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.7","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.8","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.9","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.10","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.11","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.12","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.13","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.14","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.15","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.16","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.17","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
